"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",54.4,
"HUN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",62.9,
"ITA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",66,
"ITA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",67.2,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",65.7,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",64.8,
"LUX","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",94.8,
"LUX","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",30.3,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",32.2,
"NZL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",52.4,
"NZL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",51.9,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",3.9,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",4,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",26.2,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",24.5,
"BRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"BRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"IDN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",70.7,
"IDN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",47.6,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",49.7,
"SVN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",86.1,
"SVN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",87.1,
"ZAF","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"ZAF","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"FIN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",96.2,
"FIN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",96.1,
"GRC","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"GRC","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",45.6,
"HUN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",37.1,
"IRL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",83.6,
"IRL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",77.7,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",34,
"ITA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",32.8,
"KOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",29.3,
"KOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",32.5,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",5.2,
"LUX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",47.6,
"NZL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",48.1,
"IDN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",29.3,
"IDN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",13.9,
"SVN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",12.9,
"ZAF","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"ZAF","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"AUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",44.9,
"AUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",42.5,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",4.9,
"AUT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",5.4,
"CAN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",51.9,
"CZE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",20.7,
"CZE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",23,
"FRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",20.2,
"FRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",21.1,
"CHE","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"CHE","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"USA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",37.8,
"USA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",36.3,
"ARG","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"ARG","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",99.3,
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",65.4,
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",62.5,
"CHL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",62.5,
"RUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",63.5,
"RUS","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",64.9,
"SAU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"SAU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"JPN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",34.3,
"JPN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",35.2,
"MEX","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",69.7,
"MEX","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",67.8,
"NLD","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",29.5,
"NLD","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",29.7,
"NOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",96.1,
"NOR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",96,
"POL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",22.4,
"POL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",19.6,
"SVK","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",73.8,
"SVK","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",75.5,
"ESP","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",26.9,
"ESP","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",30.7,
"TUR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",19.6,
"TUR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",19.7,
"BRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"BRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"IND","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"IND","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"ISR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",52.4,
"ISR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",50.3,
"BEL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",89.5,
"BEL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",89.3,
"DNK","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"DNK","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",94,
"FIN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",3.8,
"FIN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",3.9,
"DEU","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",85.9,
"DEU","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",85.6,
"GRC","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"GRC","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"ISL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",91.7,
"ISL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",91.2,
"IRL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",16.4,
"IRL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",22.3,
"KOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",70.7,
"KOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",67.5,
"CHN","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"CHN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"AUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",55.1,
"AUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",57.5,
"CAN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",48.1,
"CAN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"PRT","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",54.3,
"PRT","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",58.1,
"SWE","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",89.3,
"SWE","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",89.5,
"CHE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"CHE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"GBR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",56.9,
"GBR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",57,
"USA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",62.2,
"USA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",63.7,
"ARG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",0.7,
"EST","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",78.2,
"EST","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",81.6,
"RUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",36.5,
"RUS","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",35.1,
"NLD","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",70.5,
"NLD","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",70.3,
"POL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",77.6,
"POL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",80.4,
"PRT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",45.7,
"PRT","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",41.9,
"ESP","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",73.1,
"ESP","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",69.3,
"SWE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",10.7,
"SWE","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",10.5,
"TUR","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",85.4,
"TUR","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",87.3,
"GBR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",43.1,
"GBR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",42.7,
"EST","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",21.8,
"EST","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",18.4,
"IND","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"IND","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"AUT","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",95.1,
"AUT","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",94.6,
"BEL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",10.5,
"BEL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",10.7,
"CZE","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",79.3,
"CZE","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",77,
"DNK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"DNK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",6,
"FRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",79.8,
"FRA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",78.9,
"DEU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",14.1,
"DEU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",14.4,
"ISL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",8.3,
"ISL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",8.8,
"CHL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"CHL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",34.6,
"CHL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",37.5,
"CHN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"CHN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"SAU","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"SAU","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"OAVG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",30.4,
"OAVG","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",30.2,
"OAVG","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",70.8,
"OAVG","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",70.5,
"COL","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",42.6,
"COL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",50.8,
"LVA","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",63.6,
"LVA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",67.8,
"COL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",57.4,
"COL","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",49.2,
"LVA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",36.4,
"LVA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",32.2,
"CRI","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"CRI","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",39.2,
"CRI","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",,"M"
"CRI","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",60.8,
"LTU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2012",,"M"
"LTU","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",24.7,
"LTU","EDUEXPTRY","PUB","PC_EDUEXP","A","2012",74.8,
"LTU","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",75.3,
